Execution ID	Date	Version	Module	Feature	Flow	Role	API	Test Case ID	Action/Test Data	Expected Result	Actual Result	Status	Bug ID	Evidence	Automation Candidate	Notes
UI-EXEC-001	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Storefront	Landing/navigation	Home to catalog	Public	Page GET /; /katalog	FE-HOME-001	Buka homepage; periksa hero dan CTA katalog	Hero dan link katalog tampil	H1 CROWN YOUR INDIVIDUALITY tampil; 2 link katalog tersedia dan route katalog dapat dibuka	Pass	-	docs/qa/evidence/ui-2026-09-04/public-flow-trace.zip	Yes P0	Headless Edge
UI-EXEC-002	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Catalog	Search/sort	Browse catalog	Public	GET /api/catalog = 200	FE-CAT-001	Cari topi baseball corduroy; no-result; sort harga-desc	Filter dan sort sesuai input	15 card awal; pencarian menghasilkan 2 item @ Rp85.000; no-result state tampil; sort harga-desc aktif	Pass	-	docs/qa/evidence/ui-2026-09-04/public-flow-trace.zip	Yes P1	API response dikorelasikan
UI-EXEC-003	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Cart	Add/quantity/persistence	Catalog to cart	Public	N/A; localStorage cart	FE-CART-001	Add satu produk; ubah qty 1 ke 2; refresh	Satu item persist dan total benar	Satu row tersimpan; qty menjadi 2; total Rp298.000; refresh mempertahankan qty 2	Pass	-	docs/qa/evidence/ui-2026-09-04/public-flow-trace.zip	Yes P0	State nyata di browser
UI-EXEC-004	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Cart	Empty-state persistence	Remove last item	Public	N/A; localStorage cart	FE-CART-002	Hapus item terakhir lalu refresh	Cart tetap kosong	Empty state tampil sesudah remove; setelah refresh cart berubah menjadi 4 sample item dan total Rp60.000	Fail	BUG-FE-001	docs/qa/evidence/ui-2026-09-04/bug-empty-cart-repopulated.png	Yes P0	Confirmed runtime
UI-EXEC-005	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Cart	Duplicate add	Repeated add transition	Public	N/A; localStorage cart	FE-CART-003	Klik Add produk sama dua kali	Satu line item dengan qty 2 dan key unik	localStorage berisi 2 item dengan 1 unique ID; cart menampilkan 2 row; console React melaporkan duplicate key	Fail	BUG-FE-003	docs/qa/evidence/ui-2026-09-04/public-flow-trace.zip	Yes P0	Confirmed runtime
UI-EXEC-006	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Product	Card/detail mapping	Catalog card to detail	Public	GET /api/catalog = 200	FE-DETAIL-002	Buka TOPI BASEBALL CORDUROY; sample heading 6 kali	Detail tidak menampilkan produk lain saat load	Heading URBAN BASEBALL CAP pada 2 sample awal lalu berubah dan stabil ke TOPI BASEBALL CORDUROY pada 4 sample berikutnya	Needs Confirmation	-	docs/qa/evidence/ui-2026-09-04/bug-card-detail-mismatch.png	Yes P1	CANDIDATE-006; final mapping benar; stale fallback terlihat sementara
UI-EXEC-007	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Product	Options/order/cart	Detail interaction	Public	GET /api/catalog = 200	FE-CART-001	Pilih Charcoal; qty 2; Add to cart; periksa link Order	Pilihan, quantity, cart, dan order URL konsisten	Toast add tampil; Charcoal dan qty 2 tersimpan; href Order berisi detail tersebut	Pass	-	docs/qa/evidence/ui-2026-09-04/public-flow-trace.zip	Yes P0	Terdapat 7 button tanpa accessible name; dicatat sebagai risiko aksesibilitas
UI-EXEC-008	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Product	Invalid slug	Not-found flow	Public	GET /api/catalog = 200	FE-DETAIL-001	Buka /produk/qa-slug-does-not-exist-20260904	Perilaku not-found sesuai requirement	Route 200 dan merender URBAN BASEBALL CAP	Needs Confirmation	-	docs/qa/evidence/ui-2026-09-04/candidate-invalid-slug-fallback.png	Yes P1	CANDIDATE-004; expected product behavior belum disepakati
UI-EXEC-009	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Auth	Route guard	Direct protected route	Public	GET /admin -> redirect	AUTH-003	Buka /admin tanpa cookie	Redirect login dengan from	Browser berakhir di /login?from=%2Fadmin; heading WELCOME tampil	Pass	-	docs/qa/evidence/ui-2026-09-04/auth-negative-trace.zip	Yes P0	Confirmed UI runtime
UI-EXEC-010	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Auth	Client validation	Empty/malformed email	Public	Tidak ada request login	AUTH-006	Submit kosong lalu email malformed	Native validation mencegah request	Browser validation aktif; request login teramati 0 untuk kedua input	Pass	-	docs/qa/evidence/ui-2026-09-04/auth-negative-trace.zip	Yes P1	Frontend boundary
UI-EXEC-011	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Auth	Invalid credential	Negative login	Public	POST /api/auth/login = 401	AUTH-002	Credential format valid tetapi salah; toggle password	Error generik; tetap login	Toggle bekerja; 401 diterima; error generik tampil; route tetap /login	Pass	-	docs/qa/evidence/ui-2026-09-04/auth-negative-trace.zip	Yes P0	FE/BE konsisten
UI-EXEC-012	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Authorization	Admin guard	Forged-session access	Attacker	GET /admin; GET /api/products = 200	AUTH-004	Set sc_session=qa-invalid-token lalu buka /admin	Akses ditolak	Admin Bulk Massal tampil dan directory memuat 16 row	Fail	-	docs/qa/evidence/ui-2026-09-04/bug-forged-cookie-admin.png	Yes P0	Root cause backend; linked BUG-BE-001 dan BUG-BE-002
UI-EXEC-013	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Products	Directory filter/refresh	Admin read-only directory	Admin via forged cookie	GET /api/products = 200	ADMIN-DIR-001	Filter Parked/Published/All; refresh	Row count sesuai status	Parked 1; Published 15; All 16; refresh mengirim GET sukses	Pass	-	docs/qa/evidence/ui-2026-09-04/admin-flow-trace.zip	Yes P0	Pass fungsi directory; authorization tetap fail terpisah
UI-EXEC-014	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Ingest	Batch selection/modal	Admin upload preparation	Admin via forged cookie	Tidak menjalankan POST upload/ingest	ADMIN-DIR-001	Pilih 6 PNG; buka More; cancel	File count dan modal konsisten; tidak mutate	6 files tampil; More modal terbuka; cancel menutup; Generate enabled tetapi tidak diklik	Pass	-	docs/qa/evidence/ui-2026-09-04/admin-flow-trace.zip	Yes P1	Safe read-only preparation
UI-EXEC-015	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Ingest	File validation	Non-image input	Admin via forged cookie	Tidak menjalankan POST upload/ingest	ADMIN-UPLOAD-001	Inject README.md ke file input image	Non-image ditolak; Generate disabled	UI menerima 1 FILE, preview rusak, dan tombol Generate secara DOM enabled	Fail	BUG-FE-004	docs/qa/evidence/ui-2026-09-04/candidate-non-image-upload.png	Yes P0	Generate tidak diklik; crafted input menguji boundary FE
UI-EXEC-016	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Review	Search/filter/view	Review browsing	Admin via forged cookie	GET /api/admin/review = 200	ADMIN-REV-002	Cari Snapback; filter Pending; ubah Table	Hasil dan mode sesuai kontrol	Nama input cocok Snapback/Snapback Premium; search menyisakan 1 select button; Pending 2; Table active dan Grid inactive	Pass	-	docs/qa/evidence/ui-2026-09-04/admin-flow-trace.zip	Yes P1	Mode Table adalah layout div, bukan elemen table HTML
UI-EXEC-017	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Review	Selected save mapping	Reject/select/save	Admin via forged cookie	POST /api/products diintercept; tidak terkirim	ADMIN-REV-001	Seed 3 draft; reject row 0; select row 2; Save	Selected valid row dikirim	Pesan No valid products to save tampil dan tidak ada POST meski row ketiga valid dipilih	Fail	BUG-FE-002	docs/qa/evidence/ui-2026-09-04/bug-review-selected-index.png	Yes P0	Tidak ada DB mutation
UI-EXEC-018	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Settings	Persistence/storefront use	Save local settings	Admin via forged cookie	N/A; localStorage settings	FE-SET-001	Ubah store name dan WhatsApp; refresh; buka storefront	Nilai persist dan dipakai storefront	Nama tampil sebelum dan setelah reload; WhatsApp URL memakai nomor ternormalisasi	Pass	-	docs/qa/evidence/ui-2026-09-04/admin-flow-trace.zip	Yes P1	Data QA dibersihkan sesudah test
UI-EXEC-019	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Catalog	API error handling	Catalog API 500	Public	GET /api/catalog stub = 500	FE-CAT-002	Intercept API 500 lalu buka katalog	Error state eksplisit sesuai requirement	Enam fallback product dirender dan tidak ada pesan error terlihat	Needs Confirmation	-	docs/qa/evidence/ui-2026-09-04/candidate-catalog-api-fallback.png	Yes P1	CANDIDATE-007; fallback menyamarkan outage; expected belum disepakati
UI-EXEC-020	2026-09-04	ba2bdf88f3dbe650bb98158628cec708534eaacb	Navigation	Public responsive menu	Mobile public navigation	Public	Page GET /; /katalog	FE-MOBILE-001	Viewport 390x844; buka hamburger; klik Catalog	Drawer links terlihat dan navigasi berhasil	Catalog dan Login Admin terlihat setelah menu dibuka; navigasi berakhir /katalog	Pass	-	docs/qa/evidence/ui-2026-09-04/mobile-public-menu.png	Yes P1	Headless Edge mobile viewport
